student_id,age,degree,cgpa,year_of_study,passing_year,skills,location,preference_remote,annual_income,resume_file
S00001,24,B.Tech CSE,7.27,1,2028,"Cloud, AI",Kolkata,False,459023,resume_00001.pdf
S00002,20,B.Sc IT,8.37,3,2026,"Python, React, Java",Hyderabad,False,344799,resume_00002.pdf
S00003,24,MBA,9.36,2,2027,"Python, Data Science, ML, CSS",Delhi,False,511154,resume_00003.pdf
S00004,23,M.Tech AI,8.58,1,2028,"ML, CSS, AI",Mumbai,True,517481,resume_00004.pdf
S00005,22,B.Sc IT,7.42,4,2025,"SQL, Data Science, Python, React",Hyderabad,False,384267,resume_00005.pdf
S00006,24,B.Com,9.08,3,2026,"Cloud, Java",Hyderabad,False,458985,resume_00006.pdf
S00007,22,B.Com,8.0,1,2028,"SQL, CSS, ML, React",Hyderabad,True,265770,resume_00007.pdf
S00008,24,B.Sc IT,8.91,4,2025,"AI, Java, HTML, ML",Bangalore,False,508366,resume_00008.pdf
S00009,24,B.Sc IT,7.8,2,2027,"Java, Data Science",Bangalore,True,307707,resume_00009.pdf
S00010,20,MBA,8.8,4,2025,"React, AI, SQL",Chennai,True,265055,resume_00010.pdf
S00011,21,M.Tech AI,8.01,1,2028,"CSS, HTML",Mumbai,False,531193,resume_00011.pdf
S00012,25,M.Tech AI,6.9,2,2027,"CSS, Python, ML",Bangalore,False,524675,resume_00012.pdf
S00013,22,BBA,7.55,3,2026,"React, AI, HTML",Bangalore,False,536594,resume_00013.pdf
S00014,25,BBA,7.89,1,2028,"AI, Data Science",Bangalore,True,491026,resume_00014.pdf
S00015,23,MBA,8.18,4,2025,"SQL, React, CSS, ML",Kolkata,False,254199,resume_00015.pdf
S00016,20,MBA,7.03,3,2026,"Data Science, HTML, AI, CSS",Delhi,False,526272,resume_00016.pdf
S00017,25,B.Sc IT,7.27,1,2028,"ML, Cloud, CSS",Chennai,False,458567,resume_00017.pdf
S00018,24,B.Sc IT,7.92,4,2025,"Python, Cloud, HTML, React",Bangalore,True,468717,resume_00018.pdf
S00019,25,M.Tech AI,9.07,1,2028,"HTML, Data Science, Cloud",Hyderabad,False,389997,resume_00019.pdf
S00020,25,MBA,7.62,2,2027,"AI, Data Science, SQL",Hyderabad,False,254736,resume_00020.pdf
S00021,23,B.Sc IT,8.24,2,2027,"Cloud, ML",Hyderabad,True,430273,resume_00021.pdf
S00022,21,MBA,6.95,1,2028,"Python, SQL, AI, HTML",Kolkata,False,464430,resume_00022.pdf
S00023,21,B.Sc IT,6.89,2,2027,"HTML, React, SQL",Hyderabad,False,369857,resume_00023.pdf
S00024,22,M.Tech AI,7.56,1,2028,"CSS, Python, React",Mumbai,True,451908,resume_00024.pdf
S00025,23,B.Com,6.85,3,2026,"HTML, Python",Bangalore,True,591314,resume_00025.pdf
S00026,25,MBA,8.38,4,2025,"Data Science, CSS, SQL",Chennai,False,402785,resume_00026.pdf
S00027,21,M.Tech AI,7.25,1,2028,"HTML, Cloud, React",Mumbai,True,421948,resume_00027.pdf
S00028,21,B.Com,7.06,1,2028,"ML, Java, HTML, SQL",Hyderabad,True,443142,resume_00028.pdf
S00029,23,B.Sc IT,7.2,1,2028,"AI, CSS, HTML",Bangalore,False,562322,resume_00029.pdf
S00030,21,MBA,7.2,4,2025,"CSS, Data Science",Kolkata,True,488491,resume_00030.pdf
S00031,22,BBA,9.02,3,2026,"CSS, React, SQL",Chennai,True,346444,resume_00031.pdf
S00032,25,B.Sc IT,8.12,4,2025,"Java, Cloud, React, ML",Delhi,False,581823,resume_00032.pdf
S00033,24,B.Sc IT,8.97,3,2026,"Data Science, SQL, AI",Kolkata,False,529704,resume_00033.pdf
S00034,23,MBA,8.35,3,2026,"SQL, React, Cloud",Bangalore,False,325969,resume_00034.pdf
S00035,20,B.Tech CSE,9.29,2,2027,"SQL, HTML, CSS",Hyderabad,True,205738,resume_00035.pdf
S00036,23,B.Tech CSE,9.12,2,2027,"Java, SQL, Data Science",Mumbai,True,336453,resume_00036.pdf
S00037,23,MBA,6.83,2,2027,"ML, Python",Bangalore,True,298340,resume_00037.pdf
S00038,23,MBA,7.8,3,2026,"HTML, Cloud, Java, AI",Mumbai,False,295785,resume_00038.pdf
S00039,25,BBA,8.34,4,2025,"ML, Data Science, AI",Hyderabad,True,263117,resume_00039.pdf
S00040,21,MBA,7.29,1,2028,"Python, Java, CSS",Chennai,False,437362,resume_00040.pdf
S00041,24,M.Tech AI,9.07,3,2026,"Data Science, SQL",Mumbai,True,435951,resume_00041.pdf
S00042,22,B.Sc IT,7.23,2,2027,"AI, CSS",Hyderabad,False,270570,resume_00042.pdf
S00043,24,M.Tech AI,7.2,3,2026,"Data Science, CSS, Python",Delhi,True,490286,resume_00043.pdf
S00044,20,B.Tech CSE,6.95,1,2028,"CSS, Python",Delhi,True,313642,resume_00044.pdf
S00045,21,B.Sc IT,7.88,2,2027,"AI, Java",Kolkata,False,444485,resume_00045.pdf
S00046,23,BBA,7.71,4,2025,"HTML, React, CSS, ML",Delhi,False,412572,resume_00046.pdf
S00047,21,BBA,7.61,4,2025,"Data Science, SQL",Kolkata,True,213750,resume_00047.pdf
S00048,20,MBA,7.86,2,2027,"SQL, Data Science",Hyderabad,True,529090,resume_00048.pdf
S00049,24,MBA,8.03,2,2027,"SQL, CSS",Kolkata,False,441831,resume_00049.pdf
S00050,25,B.Tech CSE,6.96,4,2025,"AI, Data Science",Kolkata,False,290975,resume_00050.pdf
S00051,25,B.Com,9.4,4,2025,"Cloud, SQL, Data Science",Kolkata,False,442668,resume_00051.pdf
S00052,25,BBA,7.59,1,2028,"AI, HTML, Java",Chennai,True,498129,resume_00052.pdf
S00053,22,B.Sc IT,9.4,4,2025,"Cloud, CSS, ML",Mumbai,False,247768,resume_00053.pdf
S00054,20,BBA,8.17,3,2026,"HTML, CSS, Cloud, SQL",Kolkata,True,354402,resume_00054.pdf
S00055,25,M.Tech AI,8.19,4,2025,"Java, Data Science, AI",Hyderabad,True,581675,resume_00055.pdf
S00056,22,B.Sc IT,9.13,4,2025,"AI, CSS, HTML, Data Science",Bangalore,True,315397,resume_00056.pdf
S00057,25,B.Com,7.75,3,2026,"React, HTML, Data Science, SQL",Mumbai,False,315353,resume_00057.pdf
S00058,25,M.Tech AI,8.84,4,2025,"Python, HTML, SQL",Bangalore,False,410516,resume_00058.pdf
S00059,20,B.Com,6.75,2,2027,"Java, HTML",Bangalore,False,469436,resume_00059.pdf
S00060,22,B.Com,6.65,3,2026,"Python, ML",Chennai,False,559608,resume_00060.pdf
S00061,21,B.Com,6.78,2,2027,"Cloud, AI, CSS",Kolkata,True,424412,resume_00061.pdf
S00062,25,MBA,6.59,3,2026,"SQL, React",Mumbai,True,345343,resume_00062.pdf
S00063,21,B.Com,7.27,2,2027,"Cloud, ML, SQL, Data Science",Chennai,False,423223,resume_00063.pdf
S00064,21,B.Tech CSE,9.48,2,2027,"Data Science, AI",Mumbai,True,397002,resume_00064.pdf
S00065,25,MBA,8.96,3,2026,"Data Science, AI",Kolkata,True,492084,resume_00065.pdf
S00066,20,B.Com,7.1,2,2027,"React, Data Science, Python",Chennai,True,483928,resume_00066.pdf
S00067,22,M.Tech AI,7.88,1,2028,"Python, AI, Cloud, CSS",Bangalore,True,378743,resume_00067.pdf
S00068,25,B.Tech CSE,7.01,4,2025,"Python, AI, HTML, SQL",Mumbai,False,491131,resume_00068.pdf
S00069,24,BBA,6.65,1,2028,"Cloud, React, HTML",Kolkata,True,399840,resume_00069.pdf
S00070,20,M.Tech AI,6.7,1,2028,"HTML, Java, Cloud",Mumbai,True,398459,resume_00070.pdf
S00071,24,BBA,7.29,1,2028,"CSS, Python, ML",Mumbai,False,491367,resume_00071.pdf
S00072,25,B.Com,9.3,3,2026,"Python, SQL",Hyderabad,False,599630,resume_00072.pdf
S00073,20,MBA,8.68,1,2028,"Data Science, HTML, SQL, Python",Kolkata,False,437015,resume_00073.pdf
S00074,20,B.Com,7.53,1,2028,"AI, Data Science",Chennai,False,238164,resume_00074.pdf
S00075,20,B.Sc IT,7.09,2,2027,"Cloud, Java, CSS, React",Chennai,True,471085,resume_00075.pdf
S00076,20,BBA,8.58,4,2025,"SQL, Python",Kolkata,False,395589,resume_00076.pdf
S00077,22,B.Com,8.49,3,2026,"ML, Cloud, React",Delhi,False,531235,resume_00077.pdf
S00078,25,B.Com,9.23,2,2027,"HTML, Python, SQL, CSS",Bangalore,True,406514,resume_00078.pdf
S00079,20,B.Tech CSE,8.65,4,2025,"Java, SQL, Data Science",Delhi,True,569983,resume_00079.pdf
S00080,22,B.Com,9.25,4,2025,"React, AI, CSS",Delhi,True,331646,resume_00080.pdf
S00081,20,B.Tech CSE,9.19,4,2025,"React, HTML, ML",Mumbai,True,538400,resume_00081.pdf
S00082,20,B.Sc IT,8.64,3,2026,"Data Science, SQL, React",Mumbai,False,500901,resume_00082.pdf
S00083,21,M.Tech AI,8.09,4,2025,"SQL, Cloud, Java, React",Delhi,True,262685,resume_00083.pdf
S00084,22,B.Tech CSE,6.83,1,2028,"SQL, Java",Mumbai,False,380858,resume_00084.pdf
S00085,22,B.Com,9.3,3,2026,"HTML, React, AI",Chennai,True,485832,resume_00085.pdf
S00086,20,MBA,8.53,3,2026,"Cloud, Python, AI",Chennai,True,464818,resume_00086.pdf
S00087,25,M.Tech AI,9.3,4,2025,"CSS, AI, Cloud, Data Science",Hyderabad,False,309952,resume_00087.pdf
S00088,21,B.Com,7.42,4,2025,"AI, SQL, ML",Kolkata,True,519796,resume_00088.pdf
S00089,25,MBA,9.09,1,2028,"React, AI",Chennai,False,349082,resume_00089.pdf
S00090,22,MBA,7.63,3,2026,"Java, React",Delhi,True,368085,resume_00090.pdf
S00091,21,BBA,9.38,3,2026,"Data Science, AI",Delhi,False,434275,resume_00091.pdf
S00092,25,M.Tech AI,8.03,1,2028,"HTML, Python, Cloud, CSS",Bangalore,False,565763,resume_00092.pdf
S00093,25,MBA,7.96,2,2027,"AI, HTML",Chennai,True,405530,resume_00093.pdf
